gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,stat
ZNF267,449.405076955085,3.41635930634613,0.317054412798552,5.23717449883964e-16,1.50830625566582e-13,Upregulated
NOD2,25.9927990724794,2.81445309952772,0.926840353445591,0.000514981122821497,0.0136414569051111,Upregulated
CYLD,585.237939776487,2.91756824362536,0.297428054429194,3.71411101574614e-12,5.84583798943486e-10,Upregulated
SALL1,32.4209193450325,2.54347294616238,0.437276283020814,1.11069665126864e-05,0.000471297488137061,Upregulated
ZNF23,159.515790856915,1.81569492193048,0.227518001342302,2.14907503269409e-05,0.000860647326702579,Upregulated
ZNF821,54.2817481551231,2.17665294471641,0.342152725288505,2.13325789223999e-05,0.00085684803647954,Upregulated
FOXC2,17.6211115369572,4.71060699528029,0.50733143857129,2.27029700077415e-15,5.79825286839224e-13,Upregulated
MAP1LC3B,1139.17905910796,1.90366103983504,0.253922894870061,2.0040812662159e-05,0.000809768478193981,Upregulated
ZNF778,76.9412076536593,1.71739749249211,0.247296694917939,0.0002821587816484,0.00814349950616789,Upregulated
P2RX5-TAX1BP3,14.8776524548722,3.15565483430007,0.65214282788012,1.32936962057896e-05,0.000555381085930766,Upregulated
XAF1,413.854575059441,4.03694652141745,1.12591994470979,2.88734444702603e-05,0.00110716981402109,Upregulated
RNASEK,27.1782233600312,2.86044444957448,0.414013199405854,1.8407288525636e-07,1.18648122610956e-05,Upregulated
BCL6B,43.6819391068012,2.47104815701693,1.16594009845653,0.00209395325172396,0.0440804840051874,Upregulated
WRAP53,262.360302917606,2.27983517148891,0.284353677831085,2.53186810320667e-07,1.56342519046907e-05,Upregulated
KDM6B,750.96776306438,3.41264059640325,0.234080504773144,1.43948299369338e-26,1.62373681688614e-23,Upregulated
ALOXE3,35.4708084038143,1.89452956175245,0.452739040528702,0.00216932753567269,0.0453848802517242,Upregulated
PER1,480.607181450979,4.76277396680296,0.32326417697615,2.62825078470202e-33,5.92933377028776e-30,Upregulated
VAMP2,482.87274208729,2.37097931453226,0.29195654008451,9.62670193901156e-08,6.64831823706431e-06,Upregulated
USP43,157.419243656152,2.93046773535689,0.307224372703792,1.05313704363706e-11,1.60171494636755e-09,Upregulated
MYH3,42.681472342956,2.08813610181667,0.393095009530041,0.000210608783167127,0.00629315781225217,Upregulated
MGC12916,19.5697628402581,2.21402349819692,0.768920568281538,0.00242137216291791,0.0498634006543844,Upregulated
ZNF624,42.8339616841406,1.89391741376493,0.293673092485182,0.000123258373513312,0.00400102000929542,Upregulated
KRT16P2,10.3828044714045,-14.3506282101588,1.25307180822415,2.86471946000966e-27,3.87768426106908e-24,Downregulated
PLD6,132.516576406,3.14541610781872,0.229190656380475,2.33887478505738e-22,1.66626363634403e-19,Upregulated
FLCN,401.816328876433,1.97020094232757,0.176282006832093,1.92979341472848e-09,1.94937937774363e-07,Upregulated
MED9,182.51874405534,1.62451310563715,0.162088447130425,1.18801613982588e-05,0.000502530827146348,Upregulated
NSRP1,627.896957773987,1.94616951208814,0.322736184782516,0.000160454588696957,0.00501596607991225,Upregulated
SUZ12P1,60.0064466268081,1.70998880085092,0.313348169316745,0.0016780548792705,0.0367542893945072,Upregulated
LRRC37B,61.0703658436639,1.61225902593892,0.22645598079977,0.000665990495005841,0.0168187450380579,Upregulated
CDK5R1,88.0148166803523,2.24616804683757,0.253743168891332,3.57210982668465e-08,2.7012334421231e-06,Upregulated
CCL2,5818.97101954484,3.52604424954153,0.538579340749398,4.07894428843945e-08,3.05041933084621e-06,Upregulated
ZNF830,274.031221189478,2.80543808436164,0.227673903452034,8.45291186905173e-17,2.7906979282801e-14,Upregulated
CWC25,415.620348078234,1.70549562783786,0.132923037520816,9.61273338184837e-09,8.23531386434807e-07,Upregulated
IKZF3,57.8070348010751,4.77640461261339,0.805172256813799,1.62823391767006e-08,1.32078638264049e-06,Upregulated
CSF3,1330.23365278185,2.44960539912824,0.966336248034273,0.0017609561362958,0.038077160161182,Upregulated
NR1D1,536.840310120757,5.23663445055356,0.348786978469496,5.16388350627573e-36,1.39796654281897e-32,Upregulated
MSL1,839.888402763084,1.42690956245968,0.157628740165093,0.00110374210520749,0.0257861687094859,Upregulated
DHX58,155.690680106086,2.59842749016362,0.721403248296285,0.000426370932436614,0.0116358002852057,Upregulated
STAT5A,147.363560762914,2.30620211310526,0.521926825432523,0.000323738689241308,0.009167629492825,Upregulated
AOC2,65.2270826974774,1.65143690688579,0.253204358055064,0.00087133826949568,0.0212512339025108,Upregulated
AOC3,91.4083195116256,2.32317738722163,0.431936570085461,6.446854936311e-05,0.00229041019469569,Upregulated
ARL4D,215.85810491727,1.66451594950237,0.221285947484793,0.000233055329167405,0.00691806345528507,Upregulated
GPATCH8,738.297343498334,1.71501219906829,0.247231525118916,0.000291692331133009,0.0083651427843568,Upregulated
KANSL1,593.885248956296,1.74736022203583,0.193747758632277,8.60553337005749e-06,0.000379428337775564,Upregulated
NGFR,16.9955209730437,2.21632850816736,0.721230736990731,0.00205058946183558,0.0432348581859913,Upregulated
VEZF1,725.951231590191,1.72483557269278,0.255636532485126,0.00033896564606976,0.00953895838918976,Upregulated
PPM1D,376.553540652801,1.8174313952948,0.158660980399422,1.72618523608454e-08,1.3908121045024e-06,Upregulated
TBX4,12.3915999479525,2.1994717879927,0.602593890478121,0.0012193031479283,0.0278814479823869,Upregulated
MED13,946.843653619878,1.71762924554685,0.277221879705658,0.000707331761433664,0.0175677848124148,Upregulated
TLK2,493.33699087433,1.87829330676378,0.188732548122669,1.91981927716703e-07,1.2265773955603e-05,Upregulated
ICAM2,9.88946376258227,12.275600586304,1.45878975504617,7.39146123883752e-16,2.04185345569193e-13,Upregulated
MIR3064,34.6376415661265,2.01414683756801,0.353006367733612,0.000172145580986183,0.00529582405506585,Upregulated
MIR5047,278.691436774246,1.89763159610074,0.41899317962187,0.00149443835543648,0.0331693454004976,Upregulated
DNAH17,75.7212368484123,3.25475310195233,0.493248886644431,9.16097036321534e-08,6.39602189149993e-06,Upregulated
AATK,10.2483387974414,1.91293520071928,0.474667760874138,0.00233101785486103,0.0483936467536794,Upregulated
MAFG,1097.45012425452,1.69530131537272,0.236300745001533,0.00026151806956934,0.00764559090645915,Upregulated
ROCK1P1,8.75458572638812,2.34620385393375,0.843485605938363,0.00186745695280603,0.0400600591334112,Upregulated
SMCHD1,561.305069554658,1.82852403920277,0.356349230379677,0.00110864628028914,0.0258289777108328,Upregulated
ANKRD12,393.832164496118,2.36467725029313,0.309294578680628,3.60589343075476e-07,2.15019266425976e-05,Upregulated
LDLRAD4,22.7451932847654,4.23773378025397,0.741322033146394,9.97153288845218e-08,6.85150604964917e-06,Upregulated
RNMT,552.680717614881,2.33766410941654,0.360724083443635,6.80974334420878e-06,0.000308283230458896,Upregulated
RIOK3,758.166324411103,1.67260589214907,0.2365867998803,0.00037640691393673,0.010419312856948,Upregulated
MAPRE2,247.106452491604,-1.46909330267716,0.159132529301692,0.000472443172984945,0.0126884737887385,Downregulated
ZNF24,665.659200722533,1.67624861000946,0.184659711632794,2.20898804968355e-05,0.000876858130220425,Upregulated
MEX3C,521.719673127178,1.87926456702537,0.257237649098021,3.51584320855432e-05,0.00132563937802204,Upregulated
NEDD4L,893.17431118083,1.74386796651094,0.262289903787048,0.000323551794242148,0.009167629492825,Upregulated
ADNP2,392.493656463672,1.86459074428524,0.254060263708424,3.81560780518377e-05,0.0014228117699991,Upregulated
DIRAS1,29.0487656961711,2.56500412161633,0.418835337090817,5.14356349306742e-06,0.000241747484174169,Upregulated
ZNF554,36.0544947171159,1.9320359976975,0.369265018996077,0.000539069172177371,0.0141686219700833,Upregulated
ZNF555,72.8654088192554,3.82417576067844,0.329140172235767,1.34093291779185e-19,5.85511870168726e-17,Upregulated
ZNF57,239.792551181555,5.64371630698039,0.365000323917046,2.7527301322297e-39,9.3152387674653e-36,Upregulated
ZNF77,109.02423164926,4.96568021488557,0.300629926939108,9.81720404337565e-42,4.42952246437109e-38,Upregulated
TICAM1,308.999769396959,1.71932498423945,0.225388187602311,0.000109358491709443,0.00361625803750063,Upregulated
ZNF557,70.6893616443932,2.10871327358409,0.208616078082483,4.73717070584288e-09,4.33259072123576e-07,Upregulated
ZNF317,397.387867879871,1.82878998730781,0.174957769387026,1.40606283216065e-07,9.23906140588668e-06,Upregulated
ZNF121,106.069034967957,3.08305282982956,0.319423816613296,1.97129344603001e-12,3.17659858160264e-10,Upregulated
ICAM4,16.9981925276994,3.75319943924939,0.768261378172111,3.04958477267857e-06,0.000152321695509141,Upregulated
ICAM5,35.5791236676766,4.37174463255058,0.404492137903899,7.98339177524157e-19,3.37697472092718e-16,Upregulated
ZNF627,106.210039050079,2.80776142011267,0.264131139807522,2.79282126312253e-13,5.04048381568353e-11,Upregulated
ZNF441,18.4792397939504,2.86908910834695,0.649365533259236,6.23779034318174e-05,0.00222782928984982,Upregulated
ZNF700,32.1531264505051,2.81159490603811,0.867426612762516,0.000409966850681959,0.0112790879894939,Upregulated
ZNF136,31.308119193286,1.8494027201542,0.408473469639693,0.00189995327375375,0.0405643020718151,Upregulated
ZNF44,28.7531399575816,2.47919117629054,0.364867428902614,1.57157641202541e-06,8.27737677555486e-05,Upregulated
ZNF799,31.7414225034278,2.40348522969448,0.298440540749185,9.16687534686013e-08,6.39602189149993e-06,Upregulated
JUNB,2045.22143953833,3.36185780215829,0.386398256881879,2.02177019181989e-11,2.88070329647096e-09,Upregulated
IER2,1181.0763894301,2.74842748893244,0.482078819113388,6.62989403101768e-06,0.000304211002046967,Upregulated
LOC284454,330.315585378405,3.25298198428602,0.411713914336796,9.66464338604497e-10,1.0382588323294e-07,Upregulated
ZNF333,38.2986962478303,2.01850161014628,0.357115162945023,0.000182154511357396,0.00554077183310946,Upregulated
HSH2D,149.056177242329,2.82772909338681,0.921878578862358,0.000484452730057145,0.0129595892372599,Upregulated
MED26,129.669664767626,2.59219867850926,0.219315218071568,1.59409289303547e-14,3.53731826231608e-12,Upregulated
ELL,165.094550384172,1.8368096267138,0.189977946909007,6.69464717619671e-07,3.80751025953776e-05,Upregulated
ZNF101,63.897338320828,1.98087551428069,0.310764799515686,7.33733647994041e-05,0.0025597470771256,Upregulated
